Date,Region_Name,Area_Code,Average_Price_SA
1997-06-01,East of England,E12000006,62349.98622
1997-06-01,North West,E12000002,45728.77231
1997-06-01,West Midlands Region,E12000005,53086.69116
1997-06-01,London,E12000007,88244.11227
1997-06-01,South East,E12000008,73866.04025
1997-06-01,South West,E12000009,60096.89259
1997-06-01,Yorkshire and The Humber,E12000003,45787.0619
1997-06-01,England and Wales,K04000001,57750.58206
1997-07-01,Wales,W92000004,45014.23306
1997-07-01,England,E92000001,58956.45283
1997-07-01,East Midlands,E12000004,49089.57177
1997-07-01,Yorkshire and The Humber,E12000003,45671.74223
1997-07-01,North East,E12000001,43994.55199
1997-07-01,North West,E12000002,45254.21907
1997-07-01,East of England,E12000006,63024.76207
1997-07-01,London,E12000007,90158.6184
1997-07-01,South East,E12000008,74766.81423
1997-07-01,South West,E12000009,60549.69547
1997-07-01,West Midlands Region,E12000005,53453.27775
1997-07-01,England and Wales,K04000001,58202.24231
1997-08-01,England,E92000001,59459.81092
1997-08-01,Wales,W92000004,45804.62585
1997-08-01,North East,E12000001,43128.3072
1997-08-01,London,E12000007,90653.56682
1997-08-01,South East,E12000008,76031.91745
1997-08-01,East of England,E12000006,63501.47295
1997-08-01,Yorkshire and The Humber,E12000003,45827.73155
1997-08-01,North West,E12000002,45779.19468
1997-08-01,South West,E12000009,61312.83391
1997-08-01,East Midlands,E12000004,49325.53339
1997-08-01,West Midlands Region,E12000005,53968.81269
1997-08-01,England and Wales,K04000001,58705.2967
1997-09-01,England,E92000001,60011.21204
1997-09-01,Wales,W92000004,45779.47706
1997-09-01,East of England,E12000006,64025.92771
1997-09-01,South West,E12000009,61876.85555
1997-09-01,South East,E12000008,77182.25417
1997-09-01,West Midlands Region,E12000005,54121.44407
1997-09-01,Yorkshire and The Humber,E12000003,46188.97967
1997-09-01,North East,E12000001,42687.93094
1997-09-01,East Midlands,E12000004,49498.41214
1997-09-01,London,E12000007,92677.71689
1997-09-01,North West,E12000002,45923.61597
1997-09-01,England and Wales,K04000001,59228.7338
1997-10-01,Wales,W92000004,45998.85469
1997-10-01,England,E92000001,60497.07221
1997-10-01,East Midlands,E12000004,49748.19094
1997-10-01,West Midlands Region,E12000005,53778.7124
1997-10-01,North East,E12000001,43134.4305
1997-10-01,London,E12000007,93790.72219
1997-10-01,South West,E12000009,62424.99814
1997-10-01,Yorkshire and The Humber,E12000003,45985.9137
1997-10-01,North West,E12000002,45913.38273
1997-10-01,East of England,E12000006,65708.39046
1997-10-01,South East,E12000008,78374.47048
1997-10-01,England and Wales,K04000001,59697.04867
1997-11-01,Wales,W92000004,45988.41624
1997-11-01,England,E92000001,60929.19206
1997-11-01,East Midlands,E12000004,50091.8583
1997-11-01,South East,E12000008,79514.40706
1997-11-01,South West,E12000009,63235.53388
1997-11-01,North West,E12000002,46191.74651
1997-11-01,East of England,E12000006,65257.23455
1997-11-01,Yorkshire and The Humber,E12000003,46087.23138
1997-11-01,West Midlands Region,E12000005,54329.90114
1997-11-01,North East,E12000001,43233.87915
1997-11-01,London,E12000007,95126.40223
1997-11-01,England and Wales,K04000001,60130.68614
1997-12-01,Wales,W92000004,46279.63092
1997-12-01,England,E92000001,61203.46764
1997-12-01,South East,E12000008,79632.02977
1997-12-01,Yorkshire and The Humber,E12000003,45699.58725
1997-12-01,North West,E12000002,45738.33419
1997-12-01,South West,E12000009,63568.82449
1997-12-01,North East,E12000001,43409.98578
1997-12-01,West Midlands Region,E12000005,55123.4389
1997-12-01,East Midlands,E12000004,49832.17071
1997-12-01,East of England,E12000006,65851.35781
1997-12-01,London,E12000007,96894.85333
1997-12-01,England and Wales,K04000001,60418.78301
1998-01-01,England,E92000001,62183.14171
1998-01-01,Wales,W92000004,46408.51667
1998-01-01,South West,E12000009,64289.68522
1998-01-01,South East,E12000008,80516.86856
1998-01-01,West Midlands Region,E12000005,55460.90855
1998-01-01,East of England,E12000006,67110.99933
1998-01-01,East Midlands,E12000004,50952.98447
1998-01-01,North West,E12000002,46577.84556
1998-01-01,Yorkshire and The Humber,E12000003,46728.17354
1998-01-01,North East,E12000001,44004.01198
1998-01-01,London,E12000007,97632.80722
1998-01-01,England and Wales,K04000001,61340.39928
1998-02-01,Wales,W92000004,46376.13249
1998-02-01,England,E92000001,62511.07074
1998-02-01,London,E12000007,98158.28579
1998-02-01,East Midlands,E12000004,50756.77533
1998-02-01,North East,E12000001,43809.69267
1998-02-01,East of England,E12000006,67319.78132
1998-02-01,North West,E12000002,46363.69806
1998-02-01,Yorkshire and The Humber,E12000003,47037.71296
1998-02-01,South West,E12000009,64618.70478
1998-02-01,South East,E12000008,81296.78177
1998-02-01,West Midlands Region,E12000005,55557.74946
1998-02-01,England and Wales,K04000001,61543.20037
1998-03-01,England,E92000001,62743.22278
1998-03-01,Wales,W92000004,47209.6737
1998-03-01,Yorkshire and The Humber,E12000003,46653.89651
1998-03-01,London,E12000007,99436.06278
1998-03-01,West Midlands Region,E12000005,55413.4382
1998-03-01,North East,E12000001,44315.75852
1998-03-01,North West,E12000002,46547.17416
1998-03-01,East of England,E12000006,67933.73277
1998-03-01,South West,E12000009,65234.08224
1998-03-01,South East,E12000008,82208.46377
1998-03-01,East Midlands,E12000004,50894.17867
1998-03-01,England and Wales,K04000001,61878.67663
1998-04-01,Wales,W92000004,47377.87656
1998-04-01,England,E92000001,63379.6646
1998-04-01,West Midlands Region,E12000005,56148.40487
1998-04-01,Yorkshire and The Humber,E12000003,46665.74192
1998-04-01,North East,E12000001,44129.41086
1998-04-01,East Midlands,E12000004,51325.889
1998-04-01,London,E12000007,100892.0117
1998-04-01,South West,E12000009,65862.29993
1998-04-01,East of England,E12000006,68636.35971
1998-04-01,South East,E12000008,83259.62884
1998-04-01,North West,E12000002,47036.74652
1998-04-01,England and Wales,K04000001,62461.9903
1998-05-01,Wales,W92000004,47471.91755
1998-05-01,England,E92000001,63706.1928
1998-05-01,North East,E12000001,43948.22565
1998-05-01,Yorkshire and The Humber,E12000003,46817.33158
1998-05-01,West Midlands Region,E12000005,56173.9507
1998-05-01,South West,E12000009,66550.55095
1998-05-01,East of England,E12000006,69332.58431
